village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Talvorda,SOUTH GOA,586,924823,village,BALLI,5.85,ICD Mangalore (Panambur),266.49,Mormugao Port,34.19,Mangaluru International Airport (IXE),263.67,Rupaidiha ICP,1607.73
Chinchinim (CT),SOUTH GOA,586,626933,village,BALLI,6.91,ICD Mangalore (Panambur),268.06,Mormugao Port,30.85,Mangaluru International Airport (IXE),265.34,Rupaidiha ICP,1609.93
Sirvoi,SOUTH GOA,586,626941,village,SANVERDAM CHUCH,6.38,ICD Mangalore (Panambur),264.65,Mormugao Port,39.28,Mangaluru International Airport (IXE),261.69,Rupaidiha ICP,1604.46
Quepem (MCl),SOUTH GOA,586,252097,village,CHANDAR,6.8,ICD Mangalore (Panambur),265.35,Mormugao Port,36.98,Mangaluru International Airport (IXE),262.45,Rupaidiha ICP,1606.06
Cotarli,SOUTH GOA,586,627000,village,SANVERDAM CHUCH,7.58,ICD Mangalore (Panambur),263.18,Mormugao Port,44.59,Mangaluru International Airport (IXE),260.08,Rupaidiha ICP,1601.16
Paroda,SOUTH GOA,586,626912,village,CHANDAR,4.85,ICD Mangalore (Panambur),267.51,Mormugao Port,34.6,Mangaluru International Airport (IXE),264.64,Rupaidiha ICP,1605.23
Potrem,SOUTH GOA,586,627005,village,SONALIUM,10.33,ICD Mangalore (Panambur),260.47,Mormugao Port,55.47,Mangaluru International Airport (IXE),257.12,Rupaidiha ICP,1595.4
Orlim,SOUTH GOA,586,626916,village,MADGAON,5.67,ICD Mangalore (Panambur),270.86,Mormugao Port,27.4,Mangaluru International Airport (IXE),268.19,Rupaidiha ICP,1609.8
Sanguem (M Cl),SOUTH GOA,586,252099,village,SANVERDAM CHUCH,7.15,ICD Mangalore (Panambur),264.11,Mormugao Port,44.46,Mangaluru International Airport (IXE),261.0,Rupaidiha ICP,1599.95
Deussua,SOUTH GOA,586,626918,village,MADGAON,6.16,ICD Mangalore (Panambur),269.52,Mormugao Port,29.05,Mangaluru International Airport (IXE),266.83,Rupaidiha ICP,1609.82
Tudou,SOUTH GOA,586,627004,village,KALEEM,9.0,ICD Mangalore (Panambur),262.14,Mormugao Port,51.41,Mangaluru International Airport (IXE),258.88,Rupaidiha ICP,1596.52
Sarzora,SOUTH GOA,586,626914,village,MADGAON,6.49,ICD Mangalore (Panambur),268.82,Mormugao Port,31.09,Mangaluru International Airport (IXE),266.05,Rupaidiha ICP,1607.69
Chaifi,SOUTH GOA,586,626940,village,CHANDAR,3.82,ICD Mangalore (Panambur),268.36,Mormugao Port,35.06,Mangaluru International Airport (IXE),265.44,Rupaidiha ICP,1603.22
Avedem,SOUTH GOA,586,626939,village,CHANDAR,3.44,ICD Mangalore (Panambur),268.72,Mormugao Port,34.17,Mangaluru International Airport (IXE),265.83,Rupaidiha ICP,1603.66
Mulem,SOUTH GOA,586,626913,village,CHANDAR,4.75,ICD Mangalore (Panambur),269.1,Mormugao Port,32.09,Mangaluru International Airport (IXE),266.28,Rupaidiha ICP,1605.63
Varca (CT),SOUTH GOA,586,626932,village,MADGAON,6.45,ICD Mangalore (Panambur),271.27,Mormugao Port,26.61,Mangaluru International Airport (IXE),268.63,Rupaidiha ICP,1610.58
Dramapur,SOUTH GOA,586,626908,village,MADGAON,3.81,ICD Mangalore (Panambur),271.39,Mormugao Port,28.31,Mangaluru International Airport (IXE),268.64,Rupaidiha ICP,1606.69
Uguem,SOUTH GOA,586,627003,village,KALEEM,6.52,ICD Mangalore (Panambur),264.44,Mormugao Port,46.66,Mangaluru International Airport (IXE),261.26,Rupaidiha ICP,1597.53
Cotombi,SOUTH GOA,586,626938,village,CHANDAR,2.59,ICD Mangalore (Panambur),269.55,Mormugao Port,33.89,Mangaluru International Airport (IXE),266.65,Rupaidiha ICP,1602.62
Talaulim,SOUTH GOA,586,626907,village,MADGAON,3.43,ICD Mangalore (Panambur),272.5,Mormugao Port,26.38,Mangaluru International Airport (IXE),269.8,Rupaidiha ICP,1607.55
Xeldem (CT),SOUTH GOA,586,626969,village,SANVERDAM CHUCH,3.89,ICD Mangalore (Panambur),268.0,Mormugao Port,36.71,Mangaluru International Airport (IXE),265.04,Rupaidiha ICP,1601.96
Patiem,SOUTH GOA,586,626993,village,KALEEM,6.51,ICD Mangalore (Panambur),264.94,Mormugao Port,49.94,Mangaluru International Airport (IXE),261.66,Rupaidiha ICP,1594.18
Muguli,SOUTH GOA,586,626999,village,SANVERDAM CHUCH,5.73,ICD Mangalore (Panambur),266.42,Mormugao Port,43.19,Mangaluru International Airport (IXE),263.3,Rupaidiha ICP,1597.94
Curchorem (M Cl),SOUTH GOA,586,252096,village,SANVERDAM CHUCH,3.11,ICD Mangalore (Panambur),266.99,Mormugao Port,40.0,Mangaluru International Airport (IXE),263.95,Rupaidiha ICP,1600.1
Comproi,SOUTH GOA,586,626998,village,SANVERDAM CHUCH,2.44,ICD Mangalore (Panambur),268.6,Mormugao Port,39.9,Mangaluru International Airport (IXE),265.53,Rupaidiha ICP,1597.96
Cavorim,SOUTH GOA,586,626910,village,CHANDAR,2.08,ICD Mangalore (Panambur),270.8,Mormugao Port,31.82,Mangaluru International Airport (IXE),267.93,Rupaidiha ICP,1602.98
Dicarpale,SOUTH GOA,586,626909,village,MADGAON,3.21,ICD Mangalore (Panambur),272.75,Mormugao Port,28.02,Mangaluru International Airport (IXE),269.96,Rupaidiha ICP,1604.37
Aquem Baixo,SOUTH GOA,586,626929,village,MADGAON,1.92,ICD Mangalore (Panambur),273.43,Mormugao Port,26.77,Mangaluru International Airport (IXE),270.67,Rupaidiha ICP,1604.84
Maulinguem,SOUTH GOA,586,626994,village,KALEEM,3.99,ICD Mangalore (Panambur),266.9,Mormugao Port,47.27,Mangaluru International Airport (IXE),263.66,Rupaidiha ICP,1593.88
Sao Jose De Areal (CT),SOUTH GOA,586,626927,village,CHANDAR,3.74,ICD Mangalore (Panambur),272.17,Mormugao Port,29.46,Mangaluru International Airport (IXE),269.34,Rupaidiha ICP,1603.51
Costi,SOUTH GOA,586,626996,village,KALEEM,4.18,ICD Mangalore (Panambur),267.68,Mormugao Port,43.71,Mangaluru International Airport (IXE),264.52,Rupaidiha ICP,1595.83
Navelim (CT),SOUTH GOA,586,626930,village,MADGAON,1.79,ICD Mangalore (Panambur),273.4,Mormugao Port,26.39,Mangaluru International Airport (IXE),270.66,Rupaidiha ICP,1605.48
Coranginim,SOUTH GOA,586,626997,village,SANVERDAM CHUCH,3.48,ICD Mangalore (Panambur),268.95,Mormugao Port,40.66,Mangaluru International Airport (IXE),265.85,Rupaidiha ICP,1596.81
Adsulim,SOUTH GOA,586,626906,village,SURAVALI,3.23,ICD Mangalore (Panambur),276.19,Mormugao Port,22.25,Mangaluru International Airport (IXE),273.53,Rupaidiha ICP,1606.4
Assolda,SOUTH GOA,586,626934,village,CHANDAR,2.23,ICD Mangalore (Panambur),270.91,Mormugao Port,33.89,Mangaluru International Airport (IXE),267.97,Rupaidiha ICP,1600.5
Xelvona,SOUTH GOA,586,626936,village,SANVERDAM CHUCH,2.78,ICD Mangalore (Panambur),271.24,Mormugao Port,34.84,Mangaluru International Airport (IXE),268.27,Rupaidiha ICP,1599.05
Cana,SOUTH GOA,586,626904,village,SURAVALI,2.52,ICD Mangalore (Panambur),276.68,Mormugao Port,21.99,Mangaluru International Airport (IXE),274.01,Rupaidiha ICP,1605.67
Dudal,SOUTH GOA,586,626995,village,KALEEM,2.38,ICD Mangalore (Panambur),268.44,Mormugao Port,45.0,Mangaluru International Airport (IXE),265.24,Rupaidiha ICP,1593.8
Sanvordem (CT),SOUTH GOA,586,627021,village,SANVERDAM CHUCH,1.41,ICD Mangalore (Panambur),270.9,Mormugao Port,37.74,Mangaluru International Airport (IXE),267.85,Rupaidiha ICP,1596.81
Davorlim (CT),SOUTH GOA,586,626928,village,MADGAON,1.93,ICD Mangalore (Panambur),274.6,Mormugao Port,26.31,Mangaluru International Airport (IXE),271.82,Rupaidiha ICP,1603.25
