village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
,WEST,96,,village,MUNDKA,4.38,Narela,22.38,Dahej Port,876.05,ICD Patparganj,24.56,Attari ICP,354.04,Indira Gandhi International Airport (DEL),12.26,MMLP Sangrur,206.91,Varanasi Multi-Modal Terminal,683.55,FCI Depot Delhi (NCR),17.93
,WEST,96,,village,MUNDKA,3.13,Narela,21.25,Dahej Port,876.79,ICD Garhi Harsaru,25.72,Attari ICP,352.26,Indira Gandhi International Airport (DEL),14.06,MMLP Sangrur,205.11,Varanasi Multi-Modal Terminal,685.19,FCI Depot Delhi (NCR),19.27
,WEST,96,,village,MUNDKA,6.83,Narela,24.6,Dahej Port,874.32,ICD Garhi Harsaru,22.57,Attari ICP,356.32,Indira Gandhi International Airport (DEL),9.94,MMLP Sangrur,209.3,Varanasi Multi-Modal Terminal,681.76,FCI Depot Delhi (NCR),16.94
,WEST,96,,village,MUNDKA,5.71,Narela,23.55,Dahej Port,875.18,ICD Garhi Harsaru,23.54,Attari ICP,355.37,Indira Gandhi International Airport (DEL),10.9,MMLP Sangrur,208.28,Varanasi Multi-Modal Terminal,682.46,FCI Depot Delhi (NCR),17.21
,WEST,96,,village,PALAM,5.39,Farukh Nagar,25.91,Dahej Port,873.31,ICD Garhi Harsaru,21.37,Attari ICP,358.34,Indira Gandhi International Airport (DEL),7.93,MMLP Sangrur,211.35,Varanasi Multi-Modal Terminal,679.98,FCI Depot Delhi (NCR),15.89
,WEST,96,,village,KIRTI NAGAR,2.35,Noli,18.36,Dahej Port,882.04,ICD Patparganj,11.07,Attari ICP,363.83,Indira Gandhi International Airport (DEL),10.83,MMLP Sangrur,215.54,Varanasi Multi-Modal Terminal,671.38,FCI Depot Delhi (NCR),4.77
,WEST,96,,village,PATEL NAGAR,1.54,Noli,17.54,Dahej Port,883.15,ICD Patparganj,11.42,Attari ICP,362.78,Indira Gandhi International Airport (DEL),11.93,MMLP Sangrur,214.41,Varanasi Multi-Modal Terminal,672.12,FCI Depot Delhi (NCR),5.63
,WEST,96,,village,NASIRPUR HALT,3.37,Narela,25.1,Dahej Port,875.67,ICD Patparganj,19.52,Attari ICP,359.79,Indira Gandhi International Airport (DEL),6.97,MMLP Sangrur,212.43,Varanasi Multi-Modal Terminal,677.64,FCI Depot Delhi (NCR),12.69
,WEST,96,,village,NASIRPUR HALT,3.18,Narela,24.4,Dahej Port,876.59,ICD Patparganj,18.88,Attari ICP,359.69,Indira Gandhi International Airport (DEL),7.46,MMLP Sangrur,212.21,Varanasi Multi-Modal Terminal,677.44,FCI Depot Delhi (NCR),12.09
,WEST,96,,village,DELHI CANTT,2.04,Noli,23.45,Dahej Port,878.33,ICD Patparganj,16.77,Attari ICP,360.54,Indira Gandhi International Airport (DEL),8.04,MMLP Sangrur,212.81,Varanasi Multi-Modal Terminal,675.97,FCI Depot Delhi (NCR),10.06
