village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Itawa,Basti,179100,village,S NARAYAN CHPLA,10.58,ICD Lucknow,137.39,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,757.18,Chaudhary Charan Singh International Airport (LKO),143.98,Sunauli ICP,124.23
Chauri,Basti,179153,village,KATRA,7.11,ICD Lucknow,127.52,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,765.01,Chaudhary Charan Singh International Airport (LKO),134.15,Sunauli ICP,132.94
Ratna Taukeer,Basti,180087,village,ULNA BHARI,14.21,ICD Lucknow,146.87,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,737.84,Lal Bahadur Shastri International Airport (VNS),141.41,Sunauli ICP,129.08
Siswari Badan Singh Khas,Basti,181154,village,BASTI,14.05,ICD Lucknow,173.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,715.84,Lal Bahadur Shastri International Airport (VNS),135.57,Sunauli ICP,109.84
Bindhyapar,Basti,181068,village,MUNDERWA,9.92,ICD Lucknow,187.56,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,705.06,Lal Bahadur Shastri International Airport (VNS),134.84,Sunauli ICP,101.41
Bhikhariya,Basti,180370,village,TINICH,21.12,ICD Lucknow,159.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,727.78,Lal Bahadur Shastri International Airport (VNS),138.25,Sunauli ICP,119.74
Perrahia,Basti,181202,village,BASTI,14.33,ICD Lucknow,172.52,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,717.14,Lal Bahadur Shastri International Airport (VNS),135.99,Sunauli ICP,110.59
Maduraiya,Basti,180324,village,BASTI,20.2,ICD Lucknow,163.06,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,724.71,Lal Bahadur Shastri International Airport (VNS),137.42,Sunauli ICP,117.11
Charisara,Basti,180584,village,GOVINDNAGAR,3.06,ICD Lucknow,173.57,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,728.38,Lal Bahadur Shastri International Airport (VNS),156.26,Sunauli ICP,94.8
Bhokhari,Basti,179313,village,GAUR,3.02,ICD Lucknow,155.72,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,742.64,Lal Bahadur Shastri International Airport (VNS),159.23,Sunauli ICP,108.7
Jiv Narainpur,Basti,179125,village,KATRA,11.9,ICD Lucknow,133.04,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,760.91,Chaudhary Charan Singh International Airport (LKO),139.68,Sunauli ICP,127.84
Pakari Sangram,Basti,179973,village,BILHAR GHAT,8.76,ICD Lucknow,133.46,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,751.66,Chaudhary Charan Singh International Airport (LKO),139.01,Sunauli ICP,135.91
Lahilawara,Basti,180293,village,TINICH,16.28,ICD Lucknow,160.82,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,728.93,Lal Bahadur Shastri International Airport (VNS),142.25,Sunauli ICP,115.28
Khajuri,Basti,180048,village,BILHAR GHAT,13.22,ICD Lucknow,140.62,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,745.39,Chaudhary Charan Singh International Airport (LKO),146.12,Sunauli ICP,130.64
Khajuriya Sintetar,Basti,180276,village,GOVINDNAGAR,14.85,ICD Lucknow,165.06,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,725.84,Lal Bahadur Shastri International Airport (VNS),142.02,Sunauli ICP,111.79
