state,district,district_code,pop_2011,is_island,target_port,road_distance_km,road_cost_per_ton_inr,rail_cost_per_ton_inr,dfc_cost_per_ton_inr,optimal_mode,modal_shift_savings_inr,modal_shift_savings_pct,break_even_distance_km,road_drive_time_hours
Assam,NAGAON,305.0,1745268,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1141.6,4329.2,3079.4,,Conventional Rail,1249.7,28.9,380.0,16.44
Assam,NALBARI,323.0,757493,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1056.8,4018.9,2803.9,,Conventional Rail,1215.0,30.2,380.0,15.34
Assam,SIBSAGAR,311.0,688055,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1682.6,6314.0,3933.9,,Conventional Rail,2380.1,37.7,380.0,24.18
Assam,SONITPUR,306.0,1098720,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1221.1,4621.7,3205.0,,Conventional Rail,1416.7,30.7,380.0,17.69
Assam,SOUTH SALMARA,664.0,255118,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1100.8,4179.8,3015.0,,Conventional Rail,1164.8,27.9,380.0,15.9
Assam,SRIBHUMI,317.0,1163257,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1349.6,5092.8,3407.9,,Conventional Rail,1684.9,33.1,380.0,19.49
Assam,TAMULPUR,766.0,1388011,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1008.9,3842.8,2607.7,,Conventional Rail,1235.1,32.1,380.0,14.61
Assam,TINSUKIA,309.0,1301542,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1836.3,6878.2,4176.7,,Conventional Rail,2701.5,39.3,380.0,26.42
Assam,UDALGURI,326.0,817787,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1276.1,4823.7,3291.8,,Conventional Rail,1531.9,31.8,380.0,18.51
Assam,WEST KARBI ANAGLONG,752.0,272347,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1541.1,5796.2,3710.4,,Conventional Rail,2085.8,36.0,380.0,22.34
