state,district,sub_district,sub_district_code,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Karnataka,Vijayanagara,Hosapete,5498,KARIGANURU,9.86,ICD Whitefield,277.28,Mormugao Port,275.37,Kempegowda International Airport (BLR),261.92,Rupaidiha ICP,1516.96
Karnataka,Vijayanagara,Huvina Hadagali,5496,Kotturu,35.96,ICD Mangalore (Panambur),248.83,Mormugao Port,230.28,Mangaluru International Airport (IXE),242.8,Rupaidiha ICP,1559.32
Karnataka,Vijayanagara,Kudligi,5502,Nethranahalli H,25.08,ICD Whitefield,230.76,New Mangalore Port,271.3,Kempegowda International Airport (BLR),216.64,Sunauli ICP,1552.7
Karnataka,Vijayanagara,Kutturu,6846,Kotturu,4.23,ICD Whitefield,248.55,New Mangalore Port,257.02,Kempegowda International Airport (BLR),236.54,Rupaidiha ICP,1560.93
Karnataka,Vijayapura,Almel,7032,DUDHANI,36.0,ICD Hyderabad (Sanathnagar),235.05,Mormugao Port,317.35,Rajiv Gandhi International Airport (HYD),227.77,Rupaidiha ICP,1328.11
Karnataka,Vijayapura,Babaleshwara,6828,MULVAD,15.22,ICD Pune,278.27,Mormugao Port,231.61,Pune Airport (PNQ),279.4,Rupaidiha ICP,1400.07
Karnataka,Vijayapura,Basavan Bagewadi,5452,KUDGI,18.22,ICD Hyderabad (Sanathnagar),279.09,Mormugao Port,264.58,Rajiv Gandhi International Airport (HYD),268.25,Rupaidiha ICP,1384.9
Karnataka,Vijayapura,Chadachana,6805,CHORGI,20.02,ICD Pune,236.28,Mormugao Port,286.89,Pune Airport (PNQ),235.23,Rupaidiha ICP,1328.03
Karnataka,Vijayapura,Devara Hipparagi,6845,MINCHNAL,33.79,ICD Hyderabad (Sanathnagar),260.19,Mormugao Port,286.41,Rajiv Gandhi International Airport (HYD),250.74,Rupaidiha ICP,1360.65
Karnataka,Vijayapura,Indi,5450,INDI ROAD,8.54,ICD Hyderabad (Sanathnagar),265.33,Mormugao Port,297.43,Rajiv Gandhi International Airport (HYD),259.38,Rupaidiha ICP,1330.47
Karnataka,Vijayapura,Kolhara,6970,KUDGI,6.55,ICD Pune,294.48,Mormugao Port,240.37,Rajiv Gandhi International Airport (HYD),292.54,Rupaidiha ICP,1401.74
Karnataka,Vijayapura,Muddebihal,5453,ALMATTI,26.02,ICD Hyderabad (Sanathnagar),273.54,Mormugao Port,268.99,Rajiv Gandhi International Airport (HYD),259.97,Rupaidiha ICP,1406.37
Karnataka,Vijayapura,Nidagundi,6959,BENL,2.96,ICD Hyderabad (Sanathnagar),293.33,Mormugao Port,248.6,Rajiv Gandhi International Airport (HYD),281.04,Rupaidiha ICP,1408.21
Karnataka,Vijayapura,Not under any Sub-District,,BIJAPUR,2.9,ICD Pune,266.88,Mormugao Port,256.65,Pune Airport (PNQ),267.11,Rupaidiha ICP,1370.88
