village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
BORGAON,BAGESHWAR,63,051445,village,KATHGODAM,66.27,Dhamora,136.14,Dahej Port,1128.01,ICD Moradabad,137.62,Rupaidiha ICP,225.27,Indira Gandhi International Airport (DEL),278.86,MMLP Sangrur,358.98,Varanasi Multi-Modal Terminal,594.33,FCI Depot Dehradun,156.48
GHORANA,BAGESHWAR,63,051440,village,KATHGODAM,65.68,Dhamora,135.53,Dahej Port,1127.43,ICD Moradabad,137.03,Rupaidiha ICP,224.99,Indira Gandhi International Airport (DEL),278.4,MMLP Sangrur,358.85,Varanasi Multi-Modal Terminal,593.97,FCI Depot Dehradun,156.47
KOT TULARI,BAGESHWAR,63,051412,village,KATHGODAM,69.15,Dhamora,138.24,Dahej Port,1129.02,ICD Moradabad,138.93,Rupaidiha ICP,228.87,Indira Gandhi International Airport (DEL),278.64,MMLP Sangrur,356.57,Varanasi Multi-Modal Terminal,597.97,FCI Depot Dehradun,153.59
DHIRTOLI,BAGESHWAR,63,051409,village,KATHGODAM,69.83,Dhamora,138.39,Dahej Port,1128.58,ICD Moradabad,138.66,Rupaidiha ICP,230.49,Indira Gandhi International Airport (DEL),277.66,MMLP Sangrur,354.91,Varanasi Multi-Modal Terminal,599.47,FCI Depot Dehradun,151.86
RANKURI,BAGESHWAR,63,051415,village,KATHGODAM,67.98,Dhamora,136.42,Dahej Port,1126.7,ICD Moradabad,136.73,Rupaidiha ICP,229.65,Indira Gandhi International Airport (DEL),276.09,MMLP Sangrur,354.42,Varanasi Multi-Modal Terminal,598.35,FCI Depot Dehradun,151.75
SIMPURI,BAGESHWAR,63,051406,village,RAMNAGAR,68.44,Dhamora,137.43,Dahej Port,1126.86,ICD Moradabad,137.16,Rupaidiha ICP,232.11,Indira Gandhi International Airport (DEL),275.44,MMLP Sangrur,352.44,Varanasi Multi-Modal Terminal,600.74,FCI Depot Dehradun,149.52
KULAUN,BAGESHWAR,63,051462,village,RAMNAGAR,69.86,Dhamora,138.72,Dahej Port,1128.3,ICD Moradabad,138.57,Rupaidiha ICP,232.11,Indira Gandhi International Airport (DEL),276.85,MMLP Sangrur,353.36,Varanasi Multi-Modal Terminal,600.99,FCI Depot Dehradun,150.2
THAKALA,BAGESHWAR,63,051401,village,RAMNAGAR,69.46,Dhamora,138.42,Dahej Port,1127.89,ICD Moradabad,138.19,Rupaidiha ICP,232.32,Indira Gandhi International Airport (DEL),276.37,MMLP Sangrur,352.91,Varanasi Multi-Modal Terminal,601.12,FCI Depot Dehradun,149.81
DHAINA,BAGESHWAR,63,051400,village,KATHGODAM,65.92,Dhamora,137.05,Dahej Port,1130.23,ICD Moradabad,139.59,Rupaidiha ICP,221.58,Indira Gandhi International Airport (DEL),282.33,MMLP Sangrur,363.54,Varanasi Multi-Modal Terminal,591.12,FCI Depot Dehradun,161.01
SYALTIT,BAGESHWAR,63,051394,village,KATHGODAM,68.02,Dhamora,138.6,Dahej Port,1131.02,ICD Moradabad,140.53,Rupaidiha ICP,224.35,Indira Gandhi International Airport (DEL),282.14,MMLP Sangrur,361.7,Varanasi Multi-Modal Terminal,593.93,FCI Depot Dehradun,158.8
KANSYARI,BAGESHWAR,63,051395,village,KATHGODAM,68.48,Dhamora,139.87,Dahej Port,1133.13,ICD Moradabad,142.5,Rupaidiha ICP,222.11,Indira Gandhi International Airport (DEL),285.0,MMLP Sangrur,364.99,Varanasi Multi-Modal Terminal,592.09,FCI Depot Dehradun,161.96
