state,district,district_code,drive_hours_to_deendayal_(kandla),drive_hours_to_mumbai,drive_hours_to_jawaharlal_nehru_(jnpt/navi_mumbai),drive_hours_to_mormugao,drive_hours_to_new_mangalore,drive_hours_to_cochin,drive_hours_to_v.o._chidambaranar_(tuticorin),drive_hours_to_chennai,drive_hours_to_kamarajar_(ennore),drive_hours_to_visakhapatnam,drive_hours_to_paradip,drive_hours_to_kolkata_(syama_prasad_mookerjee)_incl._haldia_dock_complex
Rajasthan,KOTA,127.0,11.42,15.51,16.33,24.56,26.12,33.22,35.53,27.15,27.27,24.09,23.77,23.18
Rajasthan,KOTPUTLI-BEHROR,780.0,13.51,18.73,19.55,29.7,31.25,38.35,40.67,32.29,32.4,29.15,26.2,24.76
Rajasthan,NAGAUR,112.0,16.93,22.15,22.97,33.11,34.67,41.77,44.08,35.7,35.82,32.64,30.58,29.14
Rajasthan,PALI,118.0,8.32,14.27,15.09,25.81,27.37,35.54,37.86,32.93,33.05,30.37,30.06,29.06
Rajasthan,PHALODI,783.0,19.2,24.41,25.24,35.38,36.94,44.04,46.35,37.97,38.09,34.91,32.85,31.41
Rajasthan,PRATAPGARH,131.0,10.67,11.63,12.45,23.03,24.58,32.75,35.07,29.46,29.58,28.08,27.77,27.71
Rajasthan,RAJSAMAND,123.0,8.8,12.94,13.76,24.49,26.04,34.21,36.53,31.11,31.23,28.05,27.73,27.68
Rajasthan,SALUMBAR,775.0,7.96,10.71,11.53,22.25,23.81,31.98,34.3,29.37,29.49,30.31,30.4,30.34
Rajasthan,SAWAI MADHOPUR,108.0,14.55,18.63,19.46,28.07,29.63,36.73,39.04,30.66,30.78,26.69,25.5,24.06
Rajasthan,SIKAR,111.0,13.71,18.92,19.75,29.89,31.45,38.55,40.86,32.48,32.6,29.41,27.36,25.92
Rajasthan,SIROHI,117.0,6.57,12.52,13.34,24.06,25.62,33.79,36.11,31.18,31.3,29.7,29.38,29.33
Rajasthan,TONK,120.0,13.07,17.16,17.98,26.6,28.15,35.25,37.57,29.19,29.3,26.12,25.81,25.01
Rajasthan,UDAIPUR,130.0,7.44,10.91,11.73,22.45,24.01,32.18,34.5,29.57,29.69,28.62,28.3,28.25
Sikkim,GANGTOK,244.0,34.61,37.4,35.77,40.46,41.58,44.5,46.82,35.8,35.92,22.9,17.93,10.99
Sikkim,GYALSHING,242.0,35.37,38.15,36.53,41.22,42.33,45.26,47.57,36.56,36.67,23.66,18.69,11.74
Sikkim,MANGAN,241.0,35.97,38.76,37.13,41.82,42.94,45.86,48.18,37.16,37.28,24.26,19.29,12.35
Sikkim,NAMCHI,243.0,34.63,37.41,35.79,40.48,41.6,44.52,46.83,35.82,35.94,22.92,17.95,11.01
Sikkim,PAKYONG,702.0,34.42,37.21,35.58,40.27,41.39,44.31,46.63,35.61,35.73,22.71,17.74,10.8
Sikkim,SORENG,701.0,35.25,38.04,36.41,41.1,42.22,45.14,47.46,36.44,36.56,23.54,18.57,11.63
Tamil Nadu,ARIYALUR,616.0,35.66,23.9,20.93,16.02,12.17,14.66,16.98,8.51,8.63,18.5,29.14,30.28
Tamil Nadu,CHENGALPATTU,754.0,32.92,21.16,18.19,13.28,9.43,11.92,14.24,5.01,5.12,15.0,25.63,26.77
Tamil Nadu,CHENNAI,603.0,33.08,21.32,18.35,13.44,9.59,12.08,14.4,5.17,5.28,15.16,25.79,26.93
Tamil Nadu,COIMBATORE,632.0,33.79,22.03,19.06,14.15,10.3,3.09,5.96,10.52,10.64,20.09,30.73,31.87
Tamil Nadu,CUDDALORE,617.0,34.58,22.82,19.85,14.94,11.1,13.59,15.9,7.44,7.55,17.42,28.06,29.2
Tamil Nadu,DHARMAPURI,630.0,30.38,18.62,15.65,10.73,6.89,5.82,8.14,7.11,7.23,16.68,27.31,28.45
Tamil Nadu,DINDIGUL,612.0,34.4,22.64,19.67,14.76,10.91,4.58,4.2,11.13,11.25,20.7,31.34,32.48
Tamil Nadu,ERODE,610.0,34.69,22.92,19.95,15.04,11.2,4.37,7.31,11.42,11.53,20.98,31.62,32.76
Tamil Nadu,KALLAKURICHI,760.0,34.4,22.64,19.67,14.76,10.92,13.41,15.72,7.26,7.38,17.25,27.88,29.02
Tamil Nadu,KANCHEEPURAM,604.0,32.31,20.55,17.58,12.66,8.82,11.31,13.63,4.4,4.51,14.38,25.02,26.16
Tamil Nadu,KANNIYAKUMARI,629.0,39.18,27.42,24.45,19.54,15.7,7.79,2.5,15.92,16.03,25.48,36.12,37.26
Tamil Nadu,KARUR,613.0,36.61,24.84,21.88,16.96,13.12,6.73,5.94,13.34,13.46,22.91,33.54,34.68
