census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
104,Rajasthan,Alwar,3674179,1939026,1735153,2182476,1708542,898891,216772,324050,230415,222622,2346721,836000,490137
105,Rajasthan,Bharatpur,2548462,1355726,1192736,1480869,1071154,500994,238894,211938,147520,132571,1659515,546362,329127
106,Rajasthan,Dhaulpur,1206516,653647,552869,683098,523212,229936,74342,77360,45590,37856,815651,248416,141365
107,Rajasthan,Karauli,1458248,783639,674609,805849,628726,335302,115367,104208,69443,67639,947173,310688,192042
108,Rajasthan,Sawai Madhopur,1335551,704031,631520,741748,578068,313358,88804,87349,57625,70870,841697,309237,183234
109,Rajasthan,Dausa,1634409,857787,776622,938051,684495,390960,76277,135234,92559,90833,1047136,358718,210117
110,Rajasthan,Jaipur,6626178,3468507,3157671,4300965,2464893,744374,131523,659389,455527,703673,4091148,1646480,884057
111,Rajasthan,Sikar,2677333,1374990,1302343,1652117,1006504,501311,87889,282595,200430,181282,1672813,605002,381226
112,Rajasthan,Nagaur,3307743,1696325,1611418,1758624,1425882,734614,263401,242053,147701,117444,2088323,754143,463469
113,Rajasthan,Jodhpur,3687165,1923928,1763237,2031532,1489741,592370,242017,259304,154789,177199,2359786,836322,489280
114,Rajasthan,Jaisalmer,669919,361708,308211,308653,288903,132466,43872,20142,12759,10604,448969,140294,79977
115,Rajasthan,Barmer,2603751,1369022,1234729,1188322,1202482,754260,132696,101291,52272,39533,1731122,527629,326476
116,Rajasthan,Jalor,1828730,936634,892096,829582,896644,493355,158013,75304,32366,25210,1176496,390598,249379
117,Rajasthan,Sirohi,1036346,534231,502115,476806,419829,124080,97823,58213,30724,27076,649290,244401,142251
118,Rajasthan,Pali,2037573,1025422,1012151,1085693,842327,243491,237280,144581,71472,67021,1207983,467436,343384
119,Rajasthan,Ajmer,2583052,1324085,1258967,1526673,1053722,298856,145523,200191,130608,172683,1561077,629951,388040
120,Rajasthan,Tonk,1421326,728136,693190,749659,649161,326083,113426,91853,64431,67155,880194,334006,205593
121,Rajasthan,Bundi,1110906,577160,533746,585044,526091,250453,111388,63248,41227,41052,686771,267648,155958
122,Rajasthan,Bhilwara,2408523,1220736,1187787,1256126,1148165,555168,163052,141250,92785,106667,1439454,589476,365023
123,Rajasthan,Rajsamand,1156597,581339,575258,619139,550831,207582,106587,72969,41063,34286,687165,275099,193668
124,Rajasthan,Dungarpur,1388552,696532,692020,681591,641515,227849,184330,60656,42887,39312,868458,317700,191917
125,Rajasthan,Banswara,1797485,907754,889731,829343,916574,546569,199370,75011,50438,47094,1153029,406214,216554
126,Rajasthan,Chittaurgarh,1544338,783171,761167,821825,802755,453201,123469,90889,58129,67155,880043,398303,258997
127,Rajasthan,Kota,1951014,1021161,929853,1298345,748811,140262,134992,172538,118710,167778,1177474,495896,275396
128,Rajasthan,Baran,1222755,633945,588810,693307,552583,216538,185037,76209,46847,49939,762204,286344,173100
129,Rajasthan,Jhalawar,1411129,725143,685986,739792,685950,328714,209772,73388,46267,47985,850546,346110,213674
130,Rajasthan,Udaipur,3068420,1566801,1501619,1582629,1365783,539106,302968,164290,102085,142672,1876436,739287,451034
131,Rajasthan,Pratapgarh,867848,437744,430104,401515,481294,306419,96815,35206,21854,19109,545987,204801,115608
132,Uttar Pradesh,Saharanpur,3466382,1834106,1632276,2077108,1037344,221567,273050,256510,163463,154153,2228689,769736,433862
133,Uttar Pradesh,Muzaffarnagar,4143512,2193434,1950078,2417339,1291644,336049,323641,281747,148770,98691,2671757,911621,544283
134,Uttar Pradesh,Bijnor,3682713,1921215,1761498,2135393,1088036,232158,311489,255028,159528,148185,2404576,786305,450186
135,Uttar Pradesh,Moradabad,4772006,2503186,2268820,2263848,1417811,368638,338384,296210,186311,186489,3168270,988486,525574
136,Uttar Pradesh,Rampur,2335819,1223889,1111930,1043666,737261,214187,230238,85117,51703,43839,1576123,491164,258913
137,Uttar Pradesh,Jyotiba Phule Nagar,1840221,963449,876772,983110,599089,217672,131877,161282,164763,69522,1227283,391275,215849
138,Uttar Pradesh,Meerut,3443689,1825743,1617946,2141488,1090539,196068,153995,359944,254337,275076,2165117,780475,451827
139,Uttar Pradesh,Baghpat,1303048,700070,602978,797970,416695,124718,74500,132197,79475,44164,817140,283276,194548
140,Uttar Pradesh,Ghaziabad,4681645,2488834,2192811,3123264,1520538,158868,123680,597661,475439,255949,2891069,1139871,559963
141,Uttar Pradesh,Gautam Buddha Nagar,1648115,890214,757901,1122947,569109,72668,48845,218587,194796,101645,1015648,402967,188862
142,Uttar Pradesh,Bulandshahr,3499171,1845260,1653911,2031656,1173260,332475,241137,338138,217882,151182,2246254,753949,472808
143,Uttar Pradesh,Aligarh,3673889,1951996,1721893,2092567,1174361,281501,267197,334738,216997,172585,2378289,787408,472667
144,Uttar Pradesh,Mahamaya Nagar,1564708,836127,728581,942572,484115,124231,154720,166861,89435,49812,1011157,339137,210083
145,Uttar Pradesh,Mathura,2547184,1367125,1180059,1507746,840939,235886,179248,233264,155937,103102,1600686,535738,327854
146,Uttar Pradesh,Agra,4418797,2364953,2053844,2680510,1389844,285471,234455,450571,317618,199395,2871903,991255,547873
147,Uttar Pradesh,Firozabad,2498156,1332046,1166110,1521806,761521,184595,150221,277163,166249,108627,1621154,543730,312689
148,Uttar Pradesh,Mainpuri,1868529,993377,875152,1203885,560840,270888,137174,230731,144516,111696,1193660,402321,265638
149,Uttar Pradesh,Budaun,3681896,1967759,1714137,1547477,1107343,575903,258758,154425,86760,64222,2436051,748408,424194
150,Uttar Pradesh,Bareilly,4448359,2357665,2090694,2191759,1401971,365985,326376,272840,172554,146446,2893965,952233,514141
151,Uttar Pradesh,Pilibhit,2031007,1072002,959005,1061095,618605,216476,224192,117838,77602,66129,1320476,449673,256276
152,Uttar Pradesh,Shahjahanpur,3006538,1606403,1400135,1490930,892214,344973,275192,158430,96308,87355,1961237,652237,368743
153,Uttar Pradesh,Kheri,4021243,2123187,1898056,2034044,1264718,529223,422142,223669,129627,128548,2582597,896611,510832
154,Uttar Pradesh,Sitapur,4483992,2375264,2108728,2283733,1422602,571097,473554,221898,136383,127750,2862383,1000987,588318
155,Uttar Pradesh,Hardoi,4092845,2191442,1901403,2221601,1318946,596813,406830,247265,138583,103523,2598364,905306,559988
156,Uttar Pradesh,Unnao,3108367,1630087,1478280,1773584,1124744,450123,332663,240024,136688,101934,1893706,706851,453462
157,Uttar Pradesh,Lucknow,4589838,2394476,2195362,3127260,1542806,175578,203029,428121,378742,639260,2678289,1161686,685258
158,Uttar Pradesh,Rae Bareli,3405559,1752542,1653017,1965843,1204710,316891,507882,270775,182823,153041,2116007,776583,506583
159,Uttar Pradesh,Farrukhabad,1885204,1006240,878964,1092677,592267,245089,135679,184298,115069,110391,1224584,411153,246795
160,Uttar Pradesh,Kannauj,1656616,881776,774840,1017087,524676,239350,129517,175582,107628,95072,1069916,361028,223535
161,Uttar Pradesh,Etawah,1581810,845856,735954,1062003,506072,170827,158026,195192,121283,118571,979633,362026,237786
162,Uttar Pradesh,Auraiya,1379545,740040,639505,930836,442023,166731,151727,168866,101542,79012,856336,320763,202054
163,Uttar Pradesh,Kanpur Dehat,1796184,963255,832929,1170243,628864,224986,234069,223529,157167,97740,1100820,415918,276272
164,Uttar Pradesh,Kanpur Nagar,4581268,2459806,2121462,3243022,1572232,198547,258790,651228,515772,396565,2630411,1209554,731795
165,Uttar Pradesh,Jalaun,1689974,906092,783882,1075196,620764,196613,243035,167911,104699,106888,1002817,410090,274954
166,Uttar Pradesh,Jhansi,1998603,1057436,941167,1304513,814914,228881,248072,186348,99814,92586,1171301,510728,308331
