name,code,zone,state,address,longitude,latitude
Taradevi,TVI,NR,Himachal Pradesh,"Shimla, Himachal Pradesh",77.139253,31.0758
TIKUNIA,TQN,NER,Uttar Pradesh,"Tikapur Municipality, Uttar Pradesh",80.981217,28.378823
TENYA,TYAE,ER,West Bengal,"Tenya, West Bengal",88.148864,23.822157
Umarpada,UMPD,WR,Gujarat,"Umarpada to Jumavadi, Gujarat",,
Unai Vansada Road,UNI,WR,Gujarat,"Gujarat, Gujarat",,
Arjuni,AJU,SECR,Maharashtra,"Gondia, Maharashtra",80.022581618,20.8165878335
TIRUPPACHETTI,TPC,SR,Tamil Nadu,"Thiruppachethi, Tamil Nadu",78.344217489,9.773153933800002
TARAON,TRN,NER,Uttar Pradesh,"Tranav Railway Station, Uttar Pradesh",83.311179,25.526193
Tukaithad,TTZ,SCR,Maharashtra,"Akot, Maharashtra",76.670581,21.427444
VILLIYAMBAKKAM,VB,SR,Tamil Nadu,"State Highway 58, Tamil Nadu",79.929175,12.754406
UNCHI BASSI,UCB,NR,Punjab,"National Highway 1A, Punjab",75.643654,31.860857
UJALVAV,UJ,WR,Gujarat,"State Highway 31, Gujarat",71.705115,21.905096
TANUKU,TNKU,SCR,Andhra Pradesh,"131, Andhra Pradesh",81.674075,16.752035
TENNERU,TNRU,SCR,Andhra Pradesh,"Manthena, Andhra Pradesh",80.813991,16.488886
Tarabari,TRBE,NFR,Assam,"Nagaon, Assam",92.68336699999999,26.436293
TETELIA,TTLA,NFR,Assam,"Tetelia-Maloibari Rd, Assam",92.00541,26.135912
Umaria Ispa Halt,UIH,SECR,Madhya Pradesh,"Umaria Ispa, Madhya Pradesh",79.08496134640001,22.055305150200002
Umra Nala,ULA,SECR,Madhya Pradesh,"Umranala Station, Madhya Pradesh",78.879298,21.874783
TANDAVAPURA,TXM,SWR,Karnataka,"Thandavapura, Karnataka",76.678489,12.168831
Taksal,TSL,NR,Himachal Pradesh,"Parwanoo, Himachal Pradesh",76.954267,30.845271
Thuwavi,TWV,WR,Gujarat,"SH 11, Gujarat",73.381517,22.153761
Tinsukia Junction,TSK,NFR,Assam,"Tinsukia, Assam",95.356367,27.4864
Kandarpur,KDRP,ECoR,Orissa,"Jagatsinghpur Rd, Orissa",86.017399,20.396528
Uska Bazar,UB,NER,Uttar Pradesh,"State Highway 1A, Uttar Pradesh",83.12594999999999,27.189993
Udagamandalam,UAM,SR,Tamil Nadu,"Ooty, Tamil Nadu",76.694727,11.404584999999999
Toppur,TPP,SWR,Tamil Nadu,"Dharmapuri, Tamil Nadu",78.070201,11.931538000000002
Vadiya Devli,VDV,WR,Gujarat,"Vadiya, Gujarat",70.853196,21.689791
UKHRA,UKA,ER,West Bengal,"Ukhra, West Bengal",87.232537,23.653692
USMANPUR,UPR,SCR,Maharashtra,"D1, Maharashtra",76.27447,19.532217
UCHIPPULI,UCP,SR,Tamil Nadu,"Uchipuli, Tamil Nadu",79.01509300000001,9.30813
UNCHHERA,UHR,WCR,Madhya Pradesh,"Unchhera, Madhya Pradesh",80.79457,24.38137
USMANABAD,UMD,CR,Maharashtra,"National Highway 211, Maharashtra",76.022663,18.248154
WAGHODA,WGA,CR,Madhya Pradesh,"East Nimar, Madhya Pradesh",76.08875499999999,21.255951999999997
UGAR KHURD,UGR,SWR,Karnataka,"Belgaum, Karnataka",74.822126,16.669705
Vadali,VAE,WR,Gujarat,"Vadali, Gujarat",73.04360399999999,23.948406000000002
Vaso,VASO,WR,Gujarat,"Rampur, Gujarat",,
VADGAON NILA,VDGN,SCR,Maharashtra,"State Highway 169, Maharashtra",76.64117200000001,18.929472999999998
Baijnath Andoli,VDNP,ECR,Bihar,"Baijnath Andoli, Bihar",,
WASHIM,WHM,SCR,Maharashtra,"Washim, Maharashtra",77.147986,20.103101
Velpuru Road,VEP,SCR,Andhra Pradesh,"Station Rd, Andhra Pradesh",,
UMROLI,UOI,WR,Maharashtra,"Boisar, Maharashtra",72.76033699999999,19.754447000000003
VILE PARLE,VLP,WR,Maharashtra,"Mumbai, Maharashtra",72.84363,19.099273999999998
Velachha,VLC,WR,Gujarat,"SH 166, Gujarat",,
Vilegaon,VLN,CR,Maharashtra,"Vilegaon, Maharashtra",,
Valaramanikkam,VMM,SR,Tamil Nadu,"State Highway 28, Tamil Nadu",,
VARAHI,VRX,WR,Gujarat,"Banaskantha, Gujarat",71.43129599999999,23.800674
Virol,VOL,WR,Gujarat,"Anand, Gujarat",,
VAPI,VAPI,WR,Gujarat,"Valsad, Gujarat",72.90912700000001,20.374337999999998
Karanahalli,KRNH,SWR,Karnataka,"Bangalore Honavar Rd, Karnataka",75.934385,13.667160999999998
UDVADA,UVD,WR,Gujarat,"Udvada, Gujarat",72.918698,20.461236
UDUPI,UD,KR,Karnataka,"Udupi, Karnataka",74.771733,13.336341000000001
Velachery,VLCY,SR,Tamil Nadu,"Chennai, Tamil Nadu",80.21921699999999,12.967092000000001
