station_name,station_code,zone,division,state,address,latitude,longitude
NARASINGAMPET,NPT,SR,,Tamil Nadu,"Thiruvavaduthurai, Tamil Nadu",11.034797,79.511398
NISUI,NSU,NR,,Uttar Pradesh,"Aonla- Bareilly Link Rd, Uttar Pradesh",28.290931,79.236446
NARKATIAGANJ JN,NKE,ECR,SPJ,Bihar,"Narkatiaganj, Bihar",27.105035,84.464045
NIMSHIRGAON TAMDALGE,NMGT,CR,,Maharashtra,"Miraj Rd, Maharashtra",16.769023999999998,74.486113
NANGLOI,NNO,NR,DLI,,"JJ Colony No 1, Delhi NCT",28.686261,77.05696599999999
NAGARSOL,NSL,SCR,NED,Maharashtra,"Nashik, Maharashtra",20.102455,74.541646
NARWANA JN,NRW,NR,DLI,Haryana,"Way to Narwana, Haryana",29.588632,76.109286
NIDAMANGALAM,NMJ,SR,TPJ,Tamil Nadu,"Needamangalam, Tamil Nadu",10.773564,79.412736
NAULTHA,NLH,NR,DLI,Haryana,"Brahman Majra, Haryana",29.318788,76.889707
NIWAS ROAD,NWB,WCR,JBP,Madhya Pradesh,"Sidhi, Madhya Pradesh",24.053618,82.013256
NARINDARPURA,NPX,NR,DLI,Punjab,"Mansa, Punjab",29.951767,75.476271
NURSRATABAD KHARKHAR,NTG,NR,,Uttar Pradesh,"State Highway 57, Uttar Pradesh",28.775277,77.307785
Panisagar,PASG,NFR,LMG,Tripura,"Panisagar, Tripura",24.27276,92.149035
NIYALISH PARA,NLSF,ER,,West Bengal,"Berhampore, West Bengal",24.156525,88.246367
Pindrai,PDE,SECR,NGP,Madhya Pradesh,"State Highway 11A, Madhya Pradesh",22.5117997936,80.0462042108
NANGUNERI,NNN,SR,TVC,Tamil Nadu,"Nanguneri, Tamil Nadu",8.4891,77.66259199999999
ONDAGRAM,ODM,SER,ADRA,West Bengal,"Onda, West Bengal",23.147974,87.202275
NAYANDAHALLI,NYH,SWR,SBC,Karnataka,"Bengaluru, Karnataka",12.941162,77.520696
NARANGI,NNGE,NFR,LMG,Assam,"Panikhaiti, Assam",26.182961,91.835776
NEW TINSUKIA JN,NTSK,NFR,TSK,Assam,"A T Rd, Assam",27.479748,95.334128
ADARKI,AKI,CR,PUNE,Maharashtra,"Pune, Maharashtra",17.918333,74.189651
Nirmali,NMA,ECR,SPJ,Bihar,"Supaul, Bihar",26.305325,86.57461500000001
Narasapur,NS,SCR,BZA,Andhra Pradesh,"Narsapur, Andhra Pradesh",16.445891,81.699909
Nalanda,NLD,ECR,DNR,Bihar,"National Highway 82, Bihar",25.122359,85.46277400000001
Shahi,SSC,NER,IZN,Uttar Pradesh,"Shahi, Uttar Pradesh",28.588173,79.69100300000001
NAKTISEMRA,NKX,ECoR,WAT,Chhattisgarh,"Jagdalpur, Chhattisgarh",19.062273,82.07392999999999
Ootwar,OTD,NCR,AGC,Rajasthan,"Alwar, Rajasthan",27.626063,76.73256
Padra,PDRA,WR,VADODARA,Gujarat,"Padra, Gujarat",22.237238915003488,73.09017872437835
Od,OD,WR,,Gujarat,"Od, Gujarat",22.65471,73.07946299999999
Nua,NUA,NWR,JAIPUR,Rajasthan,"Jhunjhunu, Rajasthan",28.05812583236852,75.28570594266057
Tuvvur,TUV,SR,,Kerala,"Thuvvur, Kerala",11.120495,76.282913
Nasibpur,NSF,ER,,West Bengal,"State Highway 2, West Bengal",22.804835,88.262036
Narendrapur Halt,NRPR,ER,,West Bengal,"Kolkata, West Bengal",22.45342,88.41769
Nagjua,NJA,SER,RNC,Jharkhand,"Ranchi, Jharkhand",23.3782939954,84.9668384277
Nangal Mundi,NNU,NWR,BKN,Haryana,"State Highway 24, Haryana",28.250468,76.499193
Bheja,BHJA,ECoR,WAT,Odisha,"Bheja Station, Orissa",18.47264914,82.68546380999999
Netra,NTA,ER,,West Bengal,"National Highway 117, West Bengal",22.208105,88.25409499999999
Niyazipur Halt,NZP,,,,,25.1437914557,84.98843942260001
