station_code,station_name,category,zone,division,state,total_passengers,total_revenue,source_url
GWM,GANNAVARAM,NSG6,SCR,BZA,Andhra Pradesh,7925,355790,https://railway-stations-classification.pages.dev/
GWSB,GOINDWAL SAHIB,NSG6,NR,FZR,Punjab,4448,128440,https://railway-stations-classification.pages.dev/
GY,GOOTYJn,NSG4,SCR,GTL,Andhra Pradesh,550406,102251507,https://railway-stations-classification.pages.dev/
GYL,GHARYALA,NSG6,NR,FZR,Punjab,16600,555580,https://railway-stations-classification.pages.dev/
GYM,Gudiyatham,NSG5,SR,MAS,Tamil Nadu,509224,35590849,https://railway-stations-classification.pages.dev/
GYN,Gyanpur Road,NSG4,NER,BSB,Uttar Pradesh,440349,110790116,https://railway-stations-classification.pages.dev/
GZB,GHAZIABAD JN,NSG2,NR,DLI,Uttar Pradesh,9743673,1755167223,https://railway-stations-classification.pages.dev/
GZH,Gulzarbagh,NSG6,ECR,DNR,Bihar,659397,6722640,https://railway-stations-classification.pages.dev/
GZKA,GAZIKA,NSG6,NCR,AGC,Rajasthan,4397,203681,https://railway-stations-classification.pages.dev/
GZL,GAZULAPALLI,NSG6,SCR,GNT,Andhra Pradesh,18192,1375266,https://railway-stations-classification.pages.dev/
GZM,GOUR MALDA,NSG5,ER,MALDA,West Bengal,58062,11334310,https://railway-stations-classification.pages.dev/
GZN,NAYA GHAZIABAD,NSG6,NR,DLI,Uttar Pradesh,253998,6420411,https://railway-stations-classification.pages.dev/
GZO,Gazole,NSG5,NFR,KIR,West Bengal,194464,23747720,https://railway-stations-classification.pages.dev/
GZS,GIANI ZAIL SINGH SANDHWA,NSG6,NR,FZR,Punjab,6617,261828,https://railway-stations-classification.pages.dev/
GZT,Ghazipur Ghat,NSG6,NER,BSB,Uttar Pradesh,11726,475353,https://railway-stations-classification.pages.dev/
HA,Hargaon,NSG6,NER,LJN,Uttar Pradesh,182604,7279748,https://railway-stations-classification.pages.dev/
HAB,BAH,NSG6,NCR,AGC,Uttar Pradesh,18185,1068897,https://railway-stations-classification.pages.dev/
HAD,Haripad,NSG5,SR,TVC,Kerala,565513,53077971,https://railway-stations-classification.pages.dev/
HAH,Hosaagrahara,NSG6,SWR,MYS,Karnataka,53521,1209820,https://railway-stations-classification.pages.dev/
HAN,HINDAUN CITY,NSG4,WCR,KOTA,Rajasthan,969659,140582935,https://railway-stations-classification.pages.dev/
HAPA,Hapa,NSG4,WR,RAJKOT,Gujarat,208154,138856835,https://railway-stations-classification.pages.dev/
HAQ,HASTAVARAMU,NSG6,SCR,GTL,Andhra Pradesh,1222,55450,https://railway-stations-classification.pages.dev/
HAR,Hamirour road,NSG6,NCR,JHS,Uttar Pradesh,67713,2809021,https://railway-stations-classification.pages.dev/
HAS,Hassan,NSG4,SWR,MYS,Karnataka,1617434,153211276,https://railway-stations-classification.pages.dev/
HATB,HATIBARI,NSG6,ECoR,SBP,Odisha,1806,126545,https://railway-stations-classification.pages.dev/
HBI,HAGARIBOMMANAHALLI,NSG6,SWR,UBL,Karnataka,87974,8774247,https://railway-stations-classification.pages.dev/
HBL,HOMBAL,NSG6,SWR,UBL,Karnataka,6838,133400,https://railway-stations-classification.pages.dev/
HBN,Haibargaon,NSG6,NFR,LMG,Assam,180774,7006990,https://railway-stations-classification.pages.dev/
HBS,HEBSUR,NSG6,SWR,UBL,Karnataka,3636,69020,https://railway-stations-classification.pages.dev/
HBU,HALBURGA,NSG6,SCR,SC,Karnataka,3243,210213,https://railway-stations-classification.pages.dev/
HBW,HABIBWALA,NSG6,NR,MB,Uttar Pradesh,12136,541275,https://railway-stations-classification.pages.dev/
HCNR,HARICHANDANPUR,NSG6,ECoR,KUR,Odisha,85732,6757699,https://railway-stations-classification.pages.dev/
HCP,HARCHANDPUR,NSG6,NR,LKO,Uttar Pradesh,48537,2591823,https://railway-stations-classification.pages.dev/
HCR,Harishchandrapur,NSG5,NFR,KIR,West Bengal,843527,68585434,https://railway-stations-classification.pages.dev/
HD,HARDA,NSG4,WCR,BPL,Madhya Pradesh,720517,105970575,https://railway-stations-classification.pages.dev/
HDA,HIRNODA,NSG6,NWR,JAIPUR,Rajasthan,552544,3660307,https://railway-stations-classification.pages.dev/
HDB,Haldibari,NSG5,NFR,KIR,West Bengal,424899,22442255,https://railway-stations-classification.pages.dev/
HDD,HADDINAGUNDU,NSG6,SCR,GTL,Karnataka,8,270,https://railway-stations-classification.pages.dev/
HDE,Hardasbigha,NSG6,ECR,DNR,Bihar,48174,742965,https://railway-stations-classification.pages.dev/
HDGR,HADGON ROAD,NSG6,SCR,NED,Maharashtra,39433,1514060,https://railway-stations-classification.pages.dev/
HDK,Handiakhas,NSG6,NER,BSB,Uttar Pradesh,75578,5426435,https://railway-stations-classification.pages.dev/
HDL,HODAL,NSG6,NCR,AGC,HAR,619564,6273169,https://railway-stations-classification.pages.dev/
HDM,Hirdamali,NSG6,SECR,NGP,Maharashtra,72486,2855976,https://railway-stations-classification.pages.dev/
HDN,Haidarnagar,NSG5,ECR,DDU,Jharkhand,222470,13394082,https://railway-stations-classification.pages.dev/
HDP,Hadapsar,NSG5,CR,PUNE,Maharashtra,427225,69462016,https://railway-stations-classification.pages.dev/
HDS,HARIDASPUR,NSG6,ECoR,KUR,Odisha,30956,629320,https://railway-stations-classification.pages.dev/
HDT,Hardattpur,NSG6,NER,BSB,Uttar Pradesh,9422,316065,https://railway-stations-classification.pages.dev/
HDU,HARDUA,NSG6,WCR,JBP,Madhya Pradesh,5934,248485,https://railway-stations-classification.pages.dev/
HDW,Haldwani,NSG4,NER,IZN,Uttarakhand,568369,163229703,https://railway-stations-classification.pages.dev/
HDWL,HARDOWAL,NSG6,NR,FZR,Punjab,4269,118070,https://railway-stations-classification.pages.dev/
HEB,HEBBAL,NSG6,SWR,SBC,Karnataka,133593,5253925,https://railway-stations-classification.pages.dev/
HEM,HIMAYATNAGAR,NSG5,SCR,NED,Maharashtra,361091,28071274,https://railway-stations-classification.pages.dev/
HER,HER,NSG6,SCR,SC,Maharashtra,9894,505780,https://railway-stations-classification.pages.dev/
HET,Hetampur,NSG6,NCR,JHS,Madhya Pradesh,5367,208900,https://railway-stations-classification.pages.dev/
HG,HOTGI,NSG5,CR,SUR,Maharashtra,112125,21783568,https://railway-stations-classification.pages.dev/
HGH,HAIDERGARH,NSG6,NR,LKO,Uttar Pradesh,20203,3796249,https://railway-stations-classification.pages.dev/
HGI,HAGARI,NSG6,SCR,GTL,Karnataka,7680,349890,https://railway-stations-classification.pages.dev/
HGJ,HARDUAGANJ,NSG6,NCR,PRYJ,Uttar Pradesh,32407,1056280,https://railway-stations-classification.pages.dev/
HGL,HARANGUL,NSG5,CR,SUR,Maharashtra,105267,27406555,https://railway-stations-classification.pages.dev/
